age,games,games_started,minutes_played,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,3-point_field_goals_per_game,3-point_field_goal_attempted_per_game,3-point_goal_percentage,2-point_field_goals_per_game,2-point_field_goals_attempted_per_game,2-point_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,3_point_attempt_rate,assist_percentage,block_percentage,defensive_box_plus_minux,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minux,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,turnover_percentage,total_rebound_percentage,true_shooting_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,position_C,position_PF,position_PG,position_SF,position_SG,games_start_percentage,rating
33,47,1,14.7,1.2,3.1,0.384,0.1,0.4,0.2,1.1,2.7,0.413,0.7,0.8,0.892,0.3,0.9,1.2,2.3,0.3,0.1,0.7,1.3,3.2,0.137,23.3,0.4,-2.9,7.2,0,0.253,-2.8,2.1,0.4,8.8,1,16,4.7,0.459,12.8,-0.7,0.027,0,0,1,0,0,0.021276596,63
21,23,6,20.9,3.9,8.1,0.476,1.1,2.5,0.448,2.7,5.6,0.488,0.4,0.6,0.769,0.2,1.3,1.5,2.4,0.8,0.2,1.4,0.8,9.3,0.31,21.8,0.8,-2.8,7.2,0.2,0.07,0.6,1.2,0.4,15.3,2,14.2,4.1,0.555,21.5,0,0.055,0,0,1,0,0,0.260869565,74
26,82,13,26.5,3.3,7.5,0.44,0.7,2.4,0.291,2.6,5.1,0.51,1.9,2.6,0.752,0.3,1.9,2.1,2.8,0.6,0.1,0.9,1.3,9.2,0.32,17.2,0.4,-0.7,7.8,2.3,0.343,0.8,1.3,3.7,13.4,1.2,9,4.7,0.534,16.6,1.2,0.131,0,0,0,0,1,0.158536585,73
33,77,77,38.7,5.3,12.5,0.426,0,0,0,5.3,12.5,0.426,3.8,4.6,0.818,3.3,6.3,9.6,2,0.7,1.1,2.1,2.9,14.5,0.001,8.7,2.1,1.1,19.4,3.6,0.372,-1.2,9.5,3,14.8,1,12.4,14.3,0.497,19.6,1.4,0.105,0,1,0,0,0,1,78
22,82,82,40.5,6.8,16.4,0.417,2.1,5.8,0.356,4.7,10.5,0.451,2.4,4.1,0.58,1.1,3.1,4.3,8.5,2.1,0.6,3,2.9,18.1,0.356,37.3,1,0.1,8.8,3.8,0.252,4.1,3.2,4.4,18.2,2.8,14.2,6,0.498,23.9,5.2,0.118,0,0,1,0,0,1,91
22,82,8,23.8,4.6,9.5,0.481,0.1,0.4,0.314,4.5,9.1,0.489,2.4,3,0.79,0.8,2.2,3,2.2,0.8,0.3,1.8,1.8,11.7,0.045,16.6,0.9,-1.6,10.7,0.8,0.318,-0.2,3.8,1.9,15.9,1.9,14.3,7.3,0.539,24.4,0.1,0.068,0,0,0,1,0,0.097560976,83
28,22,16,25.9,2.7,7.8,0.349,0.9,3,0.299,1.8,4.8,0.381,1,1.4,0.733,0.9,2.7,3.6,2.3,1,0.3,0.9,1.7,7.4,0.39,14.6,0.8,0.5,11.6,0.7,0.174,-2.1,3.8,0,10.4,2,9.3,7.6,0.437,16.3,0.1,0.062,0,0,0,0,1,0.727272727,66
26,4,4,31,3.8,12,0.313,2,5.3,0.381,1.8,6.8,0.259,1.3,1.5,0.833,0.8,2.3,3,2.3,0.8,0.3,2,3,10.8,0.438,12.1,0.6,-2.7,8.1,0,0.125,-3.6,2.7,-0.2,6.4,1.3,13.6,5.4,0.425,21.5,-0.1,-0.05,0,0,0,0,1,1,76
33,80,80,30.3,4.2,9,0.472,0,0.2,0.231,4.2,8.8,0.477,2.6,4.3,0.615,2.6,5.8,8.4,3.7,1,1.2,2,2.9,11.1,0.018,17.9,2.6,3.3,20.2,4.2,0.475,0.1,9.2,3.1,17,1.6,15.4,14.8,0.513,18.4,3.3,0.145,1,0,0,0,0,1,78
24,42,15,16.8,1.9,4.5,0.417,0,0,0,1.9,4.5,0.417,0.9,1.1,0.826,1.1,2.9,4,0.6,0.4,0.3,0.9,2.3,4.6,0,5.6,1.1,-1.2,20,0.4,0.246,-4.2,7.9,-0.1,8.8,1.1,15.1,14,0.468,15.9,-0.6,0.022,1,0,0,0,0,0.357142857,55
