player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Rodney Buford,SF,26,SAC,22,0,6.4,0.9,2.5,0.339,0,0.1,0,0.9,2.5,0.352,0.339,0.1,0.3,0.5,0.3,0.4,0.7,0.3,0.3,0,0.2,0.4,1.9,0.036,7.6,0.5,-8.8,-2.5,7.1,0.1,0.107,-6.2,4.9,-0.3,6.2,2.2,6.4,6,0.35,20.1,-0.2,-0.2,-0.063,70
Rasual Butler,SF,24,MIA,45,0,15,2.6,5.6,0.476,1.1,2.4,0.463,1.5,3.2,0.486,0.576,0.4,0.5,0.762,0.1,1.3,1.4,0.5,0.2,0.3,0.6,1.6,6.8,0.432,6.6,1.5,-2.2,-2.5,10,0.5,0.084,0.2,0.7,1,14,0.8,9.7,5.3,0.586,20,0,1.6,0.113,70
Zarko Cabarkapa,PF,22,PHO,49,4,11.6,1.7,4,0.411,0.1,0.7,0.188,1.5,3.4,0.455,0.426,0.7,1.1,0.66,0.5,1.5,2,0.8,0.2,0.3,1.1,1.5,4.1,0.162,11.6,1.7,-6.5,-1.7,14.7,0.3,0.269,-4.8,5.2,-0.7,8.4,0.9,19.7,9.9,0.461,21.7,-0.7,-0.4,-0.037,70
Elden Campbell,C,35,DET,65,27,13.7,2.1,4.8,0.439,0,0,,2.1,4.8,0.439,0.439,1.3,1.9,0.685,0.8,2.4,3.2,0.7,0.3,0.8,1,2.1,5.6,0,9.3,4.3,-1.9,1.9,20.1,2,0.395,-3.9,6.8,0.1,13.8,1.3,14.6,13.6,0.49,22.6,0,2.1,0.115,70
Boris Diaw,SG,21,ATL,76,37,25.3,1.8,4.1,0.447,0.1,0.3,0.231,1.8,3.8,0.467,0.457,0.7,1.2,0.602,1.5,3,4.5,2.4,0.8,0.5,1.7,2.5,4.5,0.083,14.9,1.4,-1.6,1,13.5,1.1,0.297,-2.6,6.6,-0.3,8.8,1.6,26.3,10.1,0.483,11.4,0.2,0.8,0.021,70
Keyon Dooling,PG,23,LAC,58,24,19.6,2.4,6.1,0.389,0.1,0.8,0.174,2.2,5.3,0.422,0.401,1.3,1.6,0.83,0.3,1.1,1.4,2.2,0.8,0.1,1.1,1.9,6.2,0.131,19.4,0.4,-4.8,-2.7,6.3,0.1,0.267,-2.1,1.7,0.2,10,2.1,14.2,4,0.458,17.9,-0.8,0.3,0.013,70
Howard Eisley,PG,31,PHO,34,0,21.4,2.5,7.3,0.345,0.7,2.3,0.308,1.8,5,0.363,0.394,1.3,1.6,0.83,0.4,1.5,1.9,3.4,0.8,0.1,1.4,1.5,7.1,0.313,25.5,0.2,-4.2,-2.6,7.9,0.2,0.213,-1.5,2,0,11.2,1.9,15,4.9,0.441,19.9,-0.4,0.2,0.013,70
Richie Frahm,SF,26,SEA,54,0,8.7,1.2,2.6,0.453,0.6,1.7,0.37,0.5,0.9,0.617,0.576,0.4,0.5,0.885,0.2,0.8,1,0.4,0.3,0.1,0.1,0.9,3.4,0.662,8.4,0.6,0.6,-2.6,11,0.1,0.187,3.2,3,1.4,15.7,1.8,4.4,7,0.608,15.5,0.3,1.5,0.152,70
Othella Harrington,PF,30,NYK,56,3,15.6,1.8,3.6,0.495,0,0,,1.8,3.6,0.495,0.495,1,1.4,0.744,1,2.1,3.2,0.5,0.2,0.3,1.2,2.4,4.6,0,5.5,1.2,-3.9,-0.5,15.5,0.7,0.386,-3.3,7.8,0.2,9,0.7,21.6,11.7,0.546,16,-0.4,0.8,0.046,70
Lindsey Hunter,SG,33,DET,33,8,20,1.5,4.3,0.343,0.4,1.5,0.28,1.1,2.8,0.376,0.392,0.2,0.2,0.625,0.4,1.6,2,2.6,1.2,0.2,1,1.4,3.5,0.35,20.7,0.7,-0.7,2,9.3,1.3,0.056,-2.7,2.3,-0.4,9,3.2,18.8,5.9,0.399,12.8,0.2,0.9,0.067,70
Mark Jackson,PG,38,HOU,42,3,13.7,0.8,2.4,0.34,0.2,1,0.171,0.6,1.4,0.458,0.375,0.7,0.9,0.718,0.2,1.4,1.7,2.8,0.4,0,1.3,1,2.5,0.41,32.8,0.1,-4.9,-0.9,11.7,0.7,0.39,-4,2.2,-0.3,8.9,1.6,31.1,7.2,0.44,14.1,-0.4,0.4,0.034,70
Jason Kapono,SF,22,CLE,41,3,10.4,1.3,3.1,0.403,0.5,1.1,0.477,0.8,2.1,0.365,0.484,0.5,0.6,0.833,0.5,0.9,1.3,0.3,0.3,0,0.5,1,3.5,0.341,5.3,0.3,-4.1,-2.6,9.3,0.2,0.186,-1.5,4.9,0.3,10.2,1.6,13.1,7.1,0.519,16.8,-0.2,0.5,0.056,70
George Lynch,SF,33,NOH,78,51,21.8,1.9,4.8,0.397,0.6,1.8,0.309,1.4,3,0.449,0.455,0.4,0.7,0.667,1.2,2.8,4,1.5,0.6,0.2,0.8,2,4.8,0.371,11.3,0.8,-1.3,0.5,14.9,1.6,0.136,-1.8,6.3,0.9,9.7,1.5,13.9,10.5,0.472,12.4,0.3,2.5,0.072,70
Roger Mason,SG,23,TOR,23,3,12.4,1.3,3.8,0.356,0.5,1.4,0.364,0.8,2.3,0.352,0.425,0.8,1,0.864,0,1.2,1.2,1,0.4,0.3,0.8,1.3,4,0.379,14.5,1.5,-4.2,-0.5,11,0.4,0.253,-3.7,0.4,-0.1,9.7,1.9,15.7,5.7,0.481,19.5,-0.2,0.2,0.039,70
Scot Pollard,C,28,IND,61,3,11.1,0.8,1.9,0.412,0,0,,0.8,1.9,0.412,0.412,0.2,0.3,0.571,1.1,1.6,2.7,0.2,0.4,0.4,0.4,1.8,1.7,0,2.4,2.9,-1.6,2.4,17.1,1.3,0.184,-4,11.6,0.1,8.3,1.9,15.1,14.3,0.43,10.1,0.1,1.4,0.098,70
