player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Reggie Evans,PF,31,LAC,56,0,13.8,0.6,1.3,0.472,0.0,0.0,,0.6,1.3,0.472,0.472,0.6,1.3,0.507,1.8,3.1,4.8,0.3,0.6,0.1,0.8,2.1,1.9,0.0,3.1,0.6,-2.2,1.1,26.7,1.0,0.986,-3.3,15.3,0.2,9.2,2.2,29.9,20.9,0.504,8.8,0.0,1.3,0.079,70
Tyreke Evans,SG,22,SAC,63,61,34.3,6.5,14.3,0.453,0.3,1.6,0.202,6.2,12.7,0.484,0.464,3.2,4.1,0.779,1.0,3.6,4.6,4.5,1.3,0.5,2.7,2.2,16.5,0.11,22.1,1.0,-0.3,-0.8,12.0,0.6,0.287,0.5,3.1,2.0,16.4,2.0,14.4,7.3,0.512,23.8,0.9,2.7,0.059,80
Kenneth Faried,PF,22,DEN,46,39,22.5,3.9,6.7,0.586,0.0,0.0,,3.9,6.7,0.586,0.586,2.4,3.6,0.665,3.1,4.6,7.7,0.8,0.7,1.0,1.2,2.5,10.2,0.0,5.5,3.6,3.4,1.0,22.9,1.3,0.531,2.3,16.5,3.2,21.9,1.7,12.4,19.8,0.618,18.7,1.4,4.6,0.212,78
Derrick Favors,PF,20,UTA,65,9,21.2,3.4,6.8,0.499,0.0,0.0,,3.4,6.8,0.499,0.499,1.9,3.0,0.649,2.4,4.1,6.5,0.7,0.6,1.0,1.6,2.2,8.8,0.0,5.0,3.8,-0.8,0.5,22.5,1.6,0.436,-1.3,13.0,1.4,17.1,1.4,16.3,17.7,0.537,20.7,0.4,3.0,0.105,79
Raymond Felton,PG,27,POR,60,56,31.8,4.4,10.7,0.407,1.0,3.4,0.305,3.3,7.3,0.453,0.455,1.7,2.1,0.806,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4,0.316,33.3,0.4,-1.8,-1.8,7.6,1.0,0.193,-0.1,1.6,0.7,13.4,2.2,19.6,4.6,0.491,20.8,0.1,1.7,0.042,77
Landry Fields,SG,23,NYK,66,62,28.7,3.6,7.8,0.46,0.5,1.8,0.256,3.1,5.9,0.523,0.49,1.2,2.1,0.562,0.9,3.3,4.2,2.6,1.2,0.3,1.5,1.5,8.8,0.236,14.5,0.7,0.4,1.5,13.5,2.6,0.267,-1.1,3.6,0.8,12.0,2.1,15.1,8.5,0.506,16.0,1.2,3.4,0.085,70
Derek Fisher,PG,37,OKC,20,0,20.4,1.9,5.4,0.343,0.6,1.8,0.314,1.3,3.7,0.356,0.394,0.7,0.7,0.929,0.1,1.4,1.5,1.4,0.6,0.1,0.8,1.6,4.9,0.324,10.1,0.2,-4.6,-1.5,7.1,0.2,0.13,-3.1,0.6,-0.2,5.9,1.4,11.6,4.1,0.429,14.3,-0.3,0.1,0.011,65
Randy Foye,SG,28,LAC,65,48,25.9,3.9,9.9,0.398,2.0,5.1,0.386,2.0,4.8,0.41,0.496,1.1,1.3,0.859,0.4,1.7,2.1,2.2,0.7,0.4,1.1,2.0,11.0,0.511,14.2,1.2,-0.3,-1.7,8.1,0.8,0.132,1.4,1.7,2.4,13.5,1.5,9.7,4.9,0.522,20.7,0.7,3.2,0.092,71
Jimmer Fredette,PG,22,SAC,61,7,18.6,2.8,7.3,0.386,1.3,3.5,0.361,1.5,3.8,0.409,0.473,0.7,0.8,0.833,0.3,0.9,1.2,1.8,0.5,0.0,1.1,1.2,7.6,0.484,15.1,0.2,-4.4,-4.0,5.7,-0.2,0.108,-0.4,1.6,0.5,10.8,1.3,12.5,3.5,0.495,20.4,-0.7,0.3,0.012,70
Danilo Gallinari,SF,23,DEN,43,40,31.4,4.5,10.8,0.414,1.4,4.3,0.328,3.1,6.6,0.47,0.479,4.2,4.9,0.871,0.7,4.0,4.7,2.7,1.0,0.5,1.6,2.0,14.6,0.393,13.0,1.3,2.1,-0.2,14.6,1.0,0.448,2.3,2.5,2.9,16.5,1.6,10.9,8.7,0.563,20.7,1.4,3.9,0.14,77
